"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2011","2011",31699000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2013","2013",33471500,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2015","2015",31179000,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2011","2011",8276335,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2012","2012",9287840,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2013","2013",9571282,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2014","2014",10222380,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2015","2015",10499146,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2016","2016",10906090,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2011","2011",8171000,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2012","2012",8809188,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2013","2013",9156953,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2014","2014",9551244,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2015","2015",10118200,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2016","2016",10517682,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2011","2011",31705000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2012","2012",32384000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2013","2013",32444000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2014","2014",34196000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2015","2015",32902000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2016","2016",32651000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2017","2017",32811000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2011","2011",62753403,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2012","2012",72360307,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2013","2013",77853386,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2014","2014",85104467,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2015","2015",88663390,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2016","2016",80109157,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2011","2011",54383400,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2012","2012",56494700,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2013","2013",57320700,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2014","2014",57732000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2015","2015",59950000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2016","2016",59319000,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2011","2011",7163692,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2012","2012",6831888,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2013","2013",6684100,,
"20600","GERD - Total (in '000 local currency)","FIN","Finland","2014","2014",6512100,,
