COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,_T,Total,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,7003.543,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,7143.005,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,6910.585,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,7068.079,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,7034.275,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,6802.156,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,6863.747,D,Difference in methodology
AUS,Australia,_T,Total,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,7612.957,D; P,Difference in methodology; Provisional value
AUS,Australia,_T,Total,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,7305.491,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,479.269,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,471.202,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,518.815,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,460.314,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,438.149,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,410.518,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,403.987,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,430.081,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS01,Exploration and exploitation of the Earth,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,446.575,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,276.893,D,Difference in methodology
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,254.025,D,Difference in methodology
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,279.913,D,Difference in methodology
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,274.93,D,Difference in methodology
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,271.93,D,Difference in methodology
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,262.368,D,Difference in methodology
AUS,Australia,NABS02,Environment,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,239.721,D,Difference in methodology
